region,suburb,median_rent,property_type
Southern Melbourne,Murrumbeena-Hughesdale,730.0,3 Bed House
Southern Melbourne,Total,750.0,3 Bed House
Outer Western Melbourne,Altona,530.0,3 Bed House
Outer Western Melbourne,Footscray,650.0,3 Bed House
Outer Western Melbourne,Keilor East-Avondale Heights,570.0,3 Bed House
Outer Western Melbourne,Melton,420.0,3 Bed House
Outer Western Melbourne,Newport-Spotswood,700.0,3 Bed House
Outer Western Melbourne,St Albans-Deer Park,470.0,3 Bed House
Outer Western Melbourne,Sunshine,495.0,3 Bed House
Outer Western Melbourne,Sydenham,480.0,3 Bed House
Outer Western Melbourne,Werribee-Hoppers Crossing,470.0,3 Bed House
Outer Western Melbourne,West Footscray,600.0,3 Bed House
Outer Western Melbourne,Williamstown,793.0,3 Bed House
Outer Western Melbourne,Yarraville-Seddon,700.0,3 Bed House
Outer Western Melbourne,Total,480.0,3 Bed House
North Western Melbourne,Broadmeadows-Roxburgh Park,500.0,3 Bed House
North Western Melbourne,Brunswick,850.0,3 Bed House
North Western Melbourne,Coburg-Pascoe Vale South,700.0,3 Bed House
North Western Melbourne,Craigieburn,500.0,3 Bed House
North Western Melbourne,East Brunswick,878.0,3 Bed House
North Western Melbourne,Essendon,650.0,3 Bed House
North Western Melbourne,Gladstone Park-Tullamarine,520.0,3 Bed House
North Western Melbourne,Keilor,,3 Bed House
North Western Melbourne,Moonee Ponds-Ascot Vale,725.0,3 Bed House
North Western Melbourne,Oak Park-Glenroy-Fawkner,550.0,3 Bed House
North Western Melbourne,Pascoe Vale-Coburg North,620.0,3 Bed House
North Western Melbourne,Sunbury,490.0,3 Bed House
North Western Melbourne,West Brunswick,750.0,3 Bed House
North Western Melbourne,Total,530.0,3 Bed House
North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,570.0,3 Bed House
North Eastern Melbourne,Eltham-Research-Montmorency,650.0,3 Bed House
North Eastern Melbourne,Fairfield-Alphington,850.0,3 Bed House
North Eastern Melbourne,Heidelberg-Heidelberg West,600.0,3 Bed House
North Eastern Melbourne,Ivanhoe-Ivanhoe East,750.0,3 Bed House
North Eastern Melbourne,Mill Park-Epping,530.0,3 Bed House
North Eastern Melbourne,Northcote,850.0,3 Bed House
North Eastern Melbourne,Preston,650.0,3 Bed House
North Eastern Melbourne,Reservoir,560.0,3 Bed House
North Eastern Melbourne,Thomastown-Lalor,510.0,3 Bed House
North Eastern Melbourne,Thornbury,780.0,3 Bed House
North Eastern Melbourne,Whittlesea,510.0,3 Bed House
North Eastern Melbourne,Total,550.0,3 Bed House
Outer Eastern Melbourne,Bayswater,580.0,3 Bed House
Outer Eastern Melbourne,Boronia,580.0,3 Bed House
Outer Eastern Melbourne,Croydon-Lilydale,600.0,3 Bed House
Outer Eastern Melbourne,Ferntree Gully,600.0,3 Bed House
Outer Eastern Melbourne,Ringwood,600.0,3 Bed House
Outer Eastern Melbourne,Rowville,600.0,3 Bed House
Outer Eastern Melbourne,Wantirna-Scoresby,590.0,3 Bed House
Outer Eastern Melbourne,Yarra Ranges,600.0,3 Bed House
Outer Eastern Melbourne,Total,600.0,3 Bed House
South Eastern Melbourne,Berwick,560.0,3 Bed House
South Eastern Melbourne,Cranbourne,550.0,3 Bed House
South Eastern Melbourne,Dandenong,560.0,3 Bed House
South Eastern Melbourne,Dandenong North-Endeavour Hills,530.0,3 Bed House
South Eastern Melbourne,Narre Warren-Hampton Park,550.0,3 Bed House
South Eastern Melbourne,Noble Park,550.0,3 Bed House
South Eastern Melbourne,Pakenham,525.0,3 Bed House
South Eastern Melbourne,Springvale,560.0,3 Bed House
South Eastern Melbourne,Total,550.0,3 Bed House
Mornington Peninsula,Dromana-Portsea,560.0,3 Bed House
Mornington Peninsula,Frankston,565.0,3 Bed House
Mornington Peninsula,Hastings-Flinders,580.0,3 Bed House
Mornington Peninsula,Mt Eliza-Mornington-Mt Martha,675.0,3 Bed House
Mornington Peninsula,Seaford-Carrum Downs,550.0,3 Bed House
Mornington Peninsula,Total,570.0,3 Bed House
Geelong,Belmont-Grovedale,490.0,3 Bed House
Geelong,Corio,410.0,3 Bed House
Geelong,Geelong-Newcomb,470.0,3 Bed House
Geelong,Herne Hill-Geelong West,520.0,3 Bed House
Geelong,Lara,495.0,3 Bed House
Geelong,Newtown,580.0,3 Bed House
Geelong,North Geelong,485.0,3 Bed House
Geelong,Total,480.0,3 Bed House
Ballarat,Ballarat,403.0,3 Bed House
Ballarat,Mount Clear-Buninyong,415.0,3 Bed House
Ballarat,Sebastopol-Delacombe,400.0,3 Bed House
Ballarat,Wendouree-Alfredton,410.0,3 Bed House
Ballarat,Total,400.0,3 Bed House
Bendigo,Bendigo,470.0,3 Bed House
Bendigo,Flora Hill-Bendigo East,470.0,3 Bed House
Bendigo,Golden Square-Kangaroo Flat,470.0,3 Bed House
Bendigo,North Bendigo,470.0,3 Bed House
Bendigo,Total,470.0,3 Bed House
Other Regional Centres,Bairnsdale,450.0,3 Bed House
Other Regional Centres,Benalla,450.0,3 Bed House
Other Regional Centres,Castlemaine,493.0,3 Bed House
Other Regional Centres,Echuca,500.0,3 Bed House
Other Regional Centres,Hamilton,380.0,3 Bed House
Other Regional Centres,Horsham,410.0,3 Bed House
Other Regional Centres,Mildura,475.0,3 Bed House
Other Regional Centres,Moe-Newborough,410.0,3 Bed House
Other Regional Centres,Morwell,400.0,3 Bed House
Other Regional Centres,Ocean Grove-Barwon Heads,550.0,3 Bed House
Other Regional Centres,Portland,425.0,3 Bed House
Other Regional Centres,Sale-Maffra,450.0,3 Bed House
Other Regional Centres,Seymour,420.0,3 Bed House
Other Regional Centres,Shepparton,470.0,3 Bed House
Other Regional Centres,Swan Hill,450.0,3 Bed House
Other Regional Centres,Torquay,650.0,3 Bed House
Other Regional Centres,Traralgon,450.0,3 Bed House
Other Regional Centres,Wangaratta,460.0,3 Bed House
Other Regional Centres,Warragul,480.0,3 Bed House
Other Regional Centres,Warrnambool,550.0,3 Bed House
Other Regional Centres,Wodonga,500.0,3 Bed House
Other Regional Centres,Total,465.0,3 Bed House
Other Regional Centres,,,3 Bed House
Other Regional Centres,,,3 Bed House
