suburb,median_price,sales_count
Trentham,935000.0,5
Truganina,680000.0,179
Tullamarine,750000.0,15
Tungamah,273000.0,0
Tyabb,831000.0,5
Underbool,89000.0,1
Upper Ferntree Gully,920000.0,7
Upwey,882500.0,22
Ventnor,705000.0,9
Venus Bay,496500.0,24
Vermont,1199000.0,23
Vermont South,1488000.0,33
Viewbank,1136000.0,20
Violet Town,290000.0,3
Wahgunyah,490000.0,4
Wallan,640000.0,60
Wallan East,580000.0,25
Wandana Heights,920000.0,9
Wandin North,1026000.0,7
Wangaratta,525000.0,89
Wantirna,1104000.0,28
Wantirna South,1280000.0,37
Warburton,633300.0,8
Warracknabeal,220000.0,15
Warragul,620000.0,102
Warrandyte,1120000.0,18
Warranwood,1305000.0,17
Warrnambool,600000.0,122
Waterways,1489000.0,6
Watsonia,880500.0,10
Watsonia North,862500.0,6
Wattle Glen,935000.0,5
Waurn Ponds,738000.0,15
Wedderburn,320000.0,1
Weir Views,561000.0,46
Wendouree,460000.0,58
Wendouree West,327500.0,14
Werribee,601000.0,235
Werribee South,657500.0,10
West Footscray,847500.0,24
West Melbourne,1117500.0,4
West Wodonga,550000.0,57
Westall,902000.0,11
Westgarth,1602500.0,6
Westmeadows,700000.0,12
Wheelers Hill,1478900.0,54
White Hills,627500.0,18
Whittington,547000.0,17
Whittlesea,755000.0,18
Williams Landing,850000.0,44
Williamstown,1440000.0,29
Williamstown North,1192500.0,4
Wimbledon Heights,594000.0,4
Winchelsea,662500.0,4
Windsor,1391500.0,12
Winter Valley,535000.0,49
Wodonga,615000.0,108
Wollert,700000.0,189
Wonga Park,1302500.0,8
Wonthaggi,590000.0,31
Woodend,935000.0,23
Woodstock,662500.0,7
Woolamai Waters,640000.0,11
Woori Yallock,715000.0,10
Wy Yung,515000.0,7
Wyndham Vale,574500.0,128
Yackandandah,614000.0,3
Yallambie,997500.0,2
Yallourn North,297500.0,8
Yarra Glen,940000.0,9
Yarra Junction,657500.0,8
Yarragon,560000.0,13
Yarram,382500.0,6
Yarraville,1090000.0,50
Yarrawonga,550000.0,45
Yea,690000.0,5
Yinnar,422000.0,7
